Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003723~RNA binding	15	36.58536585365854	0.0029217532331242404	ENSG00000108349, ENSG00000182934, ENSG00000178252, ENSG00000198563, ENSG00000134815, ENSG00000115677, ENSG00000198755, ENSG00000168488, ENSG00000169710, ENSG00000198917, ENSG00000136450, ENSG00000169045, ENSG00000161960, ENSG00000147403, ENSG00000071626	40	571	3411	2.2401488616462344	0.3476671644965934	0.42949772526926333	0.42949772526926333
GOTERM_CC_DIRECT	GO:0016020~membrane	18	43.90243902439025	0.00545241359873723	ENSG00000110955, ENSG00000213983, ENSG00000182934, ENSG00000134815, ENSG00000198755, ENSG00000115216, ENSG00000168488, ENSG00000169710, ENSG00000225697, ENSG00000138074, ENSG00000259803, ENSG00000169045, ENSG00000084774, ENSG00000161960, ENSG00000214078, ENSG00000089693, ENSG00000147403, ENSG00000102144	38	889	3483	1.8558403883725059	0.44289667396478327	0.5834082550648836	0.5834082550648836
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	5	12.195121951219512	0.014613578116437627	ENSG00000108349, ENSG00000168488, ENSG00000136450, ENSG00000161960, ENSG00000115677	40	84	3411	5.075892857142857	0.8834372595326984	1.0	1.0
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	12	29.268292682926827	0.025312013177055972	ENSG00000110955, ENSG00000169710, ENSG00000182934, ENSG00000130702, ENSG00000084774, ENSG00000161960, ENSG00000198755, ENSG00000125458, ENSG00000149476, ENSG00000214078, ENSG00000102144, ENSG00000167701	38	556	3483	1.9782279439606207	0.9356393192986788	1.0	1.0
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	10	24.390243902439025	0.030083522732327034	ENSG00000092098, ENSG00000108349, ENSG00000225697, ENSG00000198563, ENSG00000169045, ENSG00000084774, ENSG00000168906, ENSG00000125458, ENSG00000214078, ENSG00000072778	40	394	3411	2.1643401015228427	0.9884331993459513	1.0	1.0
GOTERM_BP_DIRECT	GO:0030879~mammary gland development	2	4.878048780487805	0.03353643618321945	ENSG00000169710, ENSG00000135111	39	3	3362	57.47008547008547	0.9999784509590628	1.0	1.0
GOTERM_BP_DIRECT	GO:0009887~animal organ morphogenesis	3	7.317073170731707	0.03656327160991313	ENSG00000130702, ENSG00000135111, ENSG00000089693	39	27	3362	9.578347578347579	0.9999919775401229	1.0	1.0
GOTERM_CC_DIRECT	GO:0031965~nuclear membrane	4	9.75609756097561	0.053437666021855505	ENSG00000167302, ENSG00000108349, ENSG00000125875, ENSG00000214078	38	81	3483	4.526315789473684	0.9971947832986132	1.0	1.0
GOTERM_MF_DIRECT	GO:0003724~RNA helicase activity	3	7.317073170731707	0.05384248804997937	ENSG00000198563, ENSG00000134815, ENSG00000161960	40	33	3411	7.752272727272728	0.9996904986853232	1.0	1.0
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	4	9.75609756097561	0.06402847194311981	ENSG00000108349, ENSG00000198563, ENSG00000136450, ENSG00000169045	39	82	3362	4.205128205128204	0.9999999991133934	1.0	1.0
GOTERM_CC_DIRECT	GO:0016607~nuclear speck	5	12.195121951219512	0.06705354319691834	ENSG00000167302, ENSG00000108349, ENSG00000168488, ENSG00000198563, ENSG00000136450	38	146	3483	3.138968997837058	0.9994047916673239	1.0	1.0
GOTERM_MF_DIRECT	GO:0004386~helicase activity	3	7.317073170731707	0.07241836581610213	ENSG00000198563, ENSG00000134815, ENSG00000161960	40	39	3411	6.559615384615385	0.9999828835928127	1.0	1.0
GOTERM_BP_DIRECT	GO:0051453~regulation of intracellular pH	2	4.878048780487805	0.07655275515238874	ENSG00000110955, ENSG00000225697	39	7	3362	24.63003663003663	0.9999999999872706	1.0	1.0
